,City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Date
276,shuangcheng,CN,45.35,126.28,86.0,66.0,2,11.18,1594954424.0
277,guozhen,CN,34.37,107.36,84.02,53.0,20,2.86,1594954424.0
278,livingston,GB,55.9,-3.52,62.6,82.0,90,13.87,1594954425.0
279,amherst,US,41.4,-82.22,75.99,78.0,75,6.93,1594954425.0
280,geraldton,AU,-28.77,114.6,62.6,55.0,40,19.46,1594954425.0
282,orlik,RU,52.52,99.83,48.61,72.0,100,2.8,1594954425.0
283,karratha,AU,-20.74,116.85,76.89,33.0,6,2.98,1594954425.0
284,eltham,NZ,-39.43,174.3,53.01,91.0,97,1.99,1594954425.0
285,ambovombe,MG,-25.17,46.08,63.05,68.0,82,9.69,1594954425.0
286,daru,PG,-9.08,143.21,77.56,81.0,87,14.94,1594954425.0
287,stepnogorsk,KZ,52.35,71.89,74.88,60.0,99,10.94,1594954425.0
288,waingapu,ID,-9.66,120.26,83.7,60.0,7,8.86,1594954425.0
289,kavaratti,IN,10.57,72.64,83.25,80.0,100,19.42,1594954425.0
290,shimoda,JP,34.67,138.95,68.0,94.0,75,12.75,1594954425.0
291,kuah,MY,6.33,99.84,84.2,83.0,40,2.24,1594954425.0
292,bauru,BR,-22.31,-49.06,66.99,76.0,0,3.0,1594954425.0
293,itupiranga,BR,-5.13,-49.33,75.18,74.0,0,1.01,1594954426.0
294,zhigansk,RU,66.77,123.37,68.77,47.0,26,14.56,1594954426.0
295,kanker,IN,20.27,81.49,80.1,76.0,58,7.67,1594954426.0
296,corbelia,BR,-24.8,-53.31,56.35,90.0,67,2.91,1594954325.0
297,preobrazheniye,RU,42.9,133.91,72.36,69.0,1,12.39,1594954426.0
298,fort nelson,CA,58.81,-122.7,59.0,93.0,90,4.7,1594954426.0
299,romny,UA,50.75,33.47,57.47,79.0,97,3.11,1594954426.0
300,igarka,RU,67.47,86.58,56.53,60.0,6,19.39,1594954426.0
301,hami,CN,42.8,93.45,86.32,22.0,23,10.69,1594954426.0
302,ibra,OM,22.69,58.53,89.46,44.0,100,4.7,1594954426.0
303,north bend,US,43.41,-124.22,66.99,100.0,90,16.11,1594954239.0
304,pevek,RU,69.7,170.31,39.06,97.0,100,3.47,1594954426.0
305,sept-iles,CA,50.2,-66.38,63.0,63.0,75,6.93,1594954207.0
306,torbay,CA,47.67,-52.73,48.99,100.0,90,17.22,1594954427.0
307,nkhotakota,MW,-12.93,34.3,62.64,68.0,89,16.02,1594954427.0
308,cockburn town,TC,21.46,-71.14,83.07,78.0,47,19.57,1594954427.0
309,dryden,CA,49.78,-92.75,69.8,46.0,1,6.93,1594954427.0
310,ivankiv,UA,50.94,29.89,59.0,77.0,33,2.24,1594954427.0
312,dudinka,RU,69.41,86.18,50.0,76.0,75,20.13,1594954427.0
313,bucerias,MX,20.75,-105.33,80.01,94.0,90,3.36,1594954427.0
314,kewanee,US,41.25,-89.92,70.0,88.0,20,2.55,1594954427.0
315,victoria point,AU,-27.58,153.3,71.01,48.0,0,3.0,1594954427.0
316,walvis bay,NA,-22.96,14.51,68.0,18.0,0,12.75,1594954427.0
317,zilair,RU,52.23,57.44,71.56,58.0,0,6.04,1594954427.0
319,lanzhou,CN,36.06,103.79,73.4,49.0,20,4.47,1594954427.0
321,muereasca,RO,45.18,24.33,53.6,93.0,34,2.24,1594954427.0
322,qiongshan,CN,20.01,110.35,91.4,63.0,78,8.95,1594954428.0
323,shenjiamen,CN,29.96,122.3,75.96,88.0,83,12.33,1594954428.0
324,east london,ZA,-33.02,27.91,56.88,36.0,0,4.79,1594954428.0
325,adrar,MR,20.5,-10.07,86.27,29.0,57,7.29,1594954428.0
326,cayenne,GF,4.93,-52.33,75.2,100.0,100,8.9,1594954428.0
327,pitimbu,BR,-7.47,-34.81,74.5,82.0,9,12.91,1594954428.0
328,luderitz,NA,-26.65,15.16,77.0,13.0,0,24.16,1594954428.0
329,stokmarknes,NO,68.56,14.91,57.99,86.0,100,1.99,1594954428.0
330,berea,US,41.37,-81.85,77.0,78.0,75,6.93,1594954149.0
331,plettenberg bay,ZA,-34.05,23.37,57.29,35.0,0,4.34,1594954428.0
332,santiago de chuco,PE,-8.15,-78.18,51.58,62.0,4,4.54,1594954428.0
333,rostock,DE,54.09,12.14,60.01,93.0,75,8.05,1594954185.0
334,la asuncion,VE,11.03,-63.86,89.6,62.0,99,10.29,1594954172.0
335,dingle,PH,11.0,122.67,87.91,66.0,2,3.8,1594954428.0
337,saskylakh,RU,71.92,114.08,47.55,80.0,100,15.66,1594954428.0
338,beringovskiy,RU,63.05,179.32,51.84,84.0,95,4.79,1594954428.0
339,iqaluit,CA,63.75,-68.51,48.2,76.0,75,3.36,1594954429.0
340,lata,PT,40.16,-8.33,78.01,88.0,85,1.12,1594954429.0
341,kemise,ET,10.72,39.87,68.79,62.0,99,5.57,1594954429.0
342,petrozavodsk,RU,61.78,34.35,55.4,87.0,100,8.95,1594954429.0
343,arak,IR,34.09,49.69,68.16,51.0,46,6.17,1594954429.0
344,hereford,GB,52.06,-2.71,57.0,94.0,0,2.82,1594954429.0
345,uirauna,BR,-6.52,-38.41,72.9,70.0,39,10.38,1594954429.0
346,timberlake,US,37.32,-79.26,77.0,78.0,75,2.77,1594954429.0
347,nagato,JP,34.38,131.2,78.8,74.0,20,6.93,1594954429.0
348,rawson,AR,-43.3,-65.1,43.3,81.0,100,11.36,1594954429.0
349,nago,JP,26.59,127.98,78.8,88.0,90,10.29,1594954429.0
350,sturgis,US,41.8,-85.42,69.8,100.0,1,4.56,1594954429.0
351,port macquarie,AU,-31.43,152.92,62.01,72.0,90,17.22,1594954429.0
352,carnarvon,AU,-24.87,113.63,64.4,100.0,90,17.22,1594954429.0
353,huambo,AO,-12.78,15.74,44.02,59.0,0,4.41,1594954430.0
354,inhambane,MZ,-23.86,35.38,64.92,77.0,82,11.74,1594954430.0
355,cabedelo,BR,-6.98,-34.83,74.26,84.0,24,13.42,1594954430.0
356,houma,US,29.6,-90.72,75.99,94.0,1,3.76,1594954430.0
357,natal,BR,-5.79,-35.21,71.6,100.0,75,5.82,1594954430.0
358,suihua,CN,46.64,127.0,85.68,58.0,0,13.09,1594954430.0
359,kushmurun,KZ,52.45,64.63,75.61,46.0,0,10.92,1594954430.0
361,ginir,ET,7.13,40.7,56.03,87.0,86,8.9,1594954430.0
362,luena,AO,-11.78,19.92,50.4,68.0,0,8.95,1594954430.0
363,kabalo,CD,-6.05,26.92,68.59,43.0,71,9.31,1594954430.0
364,bambanglipuro,ID,-7.95,110.28,85.26,56.0,0,5.08,1594954430.0
366,iquitos,PE,-3.75,-73.25,72.43,92.0,56,2.17,1594954374.0
367,cidreira,BR,-30.18,-50.21,57.72,92.0,100,15.12,1594954431.0
368,assiniboia,CA,49.63,-105.98,70.68,48.0,2,9.19,1594954310.0
370,paita,PE,-5.09,-81.11,62.49,83.0,6,9.44,1594954431.0
371,texarkana,US,33.43,-94.05,84.99,70.0,1,4.7,1594954431.0
372,sao paulo de olivenca,BR,-3.38,-68.87,73.71,80.0,74,0.94,1594954431.0
373,jacareacanga,BR,-6.22,-57.75,75.61,67.0,87,1.66,1594954431.0
374,acarau,BR,-2.89,-40.12,77.25,83.0,0,13.65,1594954431.0
375,omboue,GA,-1.57,9.26,71.69,91.0,69,3.29,1594954431.0
376,nantucket,US,41.28,-70.1,57.2,93.0,20,4.7,1594954431.0
377,inongo,CD,-1.95,18.27,69.15,88.0,100,4.41,1594954431.0
378,talcahuano,CL,-36.72,-73.12,53.6,87.0,90,20.8,1594954432.0
379,baghdad,IQ,33.34,44.4,89.6,19.0,0,12.75,1594954391.0
380,lakes entrance,AU,-37.88,147.98,57.0,73.0,5,1.01,1594954432.0
383,hambantota,LK,6.12,81.12,84.2,74.0,40,12.75,1594954293.0
384,hofn,IS,64.25,-15.21,51.67,87.0,98,16.82,1594954432.0
385,westport,US,41.14,-73.36,69.8,64.0,1,11.41,1594954259.0
